검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2023,D3101049,(위암)위장조영검사(CR/DR/바륨분말300g),(위암)위장조영검사(CR/DR/바륨분말300g),D
2023,D3101050,(위암)위장조영검사(CR/DR/바륨분말340g),(위암)위장조영검사(CR/DR/바륨분말340g),D
2023,D3101051,(위암)위장조영검사(FullPACS/바륨분말300g),(위암)위장조영검사(FullPACS/바륨분말300g),D
2023,D3101052,(위암)위장조영검사(FullPACS/바륨분말340g),(위암)위장조영검사(FullPACS/바륨분말340g),D
2023,D3102065,(위암)바륨분말300g,(위암)바륨분말300g,D
2023,D3102066,(위암)바륨분말340g,(위암)바륨분말340g,D
2023,D3701006,(폐암)촬영및판독료,(폐암)촬영및판독료,D
2023,D3701007,(폐암)FullPACS,(폐암)FullPACS,D
2023,D3302066,(유방암)필름료(유방전용필름:4매)-양측,(유방암)필름료(유방전용필름:4매)-양측,D
2023,D3302067,(유방암)CRorDR-양측,(유방암)CRorDR-양측,D
2023,D3302068,(유방암)FullPACS-양측,(유방암)FullPACS-양측,D
2023,D3302070,(유방암)촬영및판독료-편측,(유방암)촬영및판독료-편측,D
2023,D3302071,(유방암)필름료(유방전용필름:2매)-편측,(유방암)필름료(유방전용필름:2매)-편측,D
2023,D3302072,(유방암)CRorDR-편측,(유방암)CRorDR-편측,D
2023,D3302073,(유방암)FullPACS-편측,(유방암)FullPACS-편측,D
2023,D3401005,(간암)초음파검사,(간암)초음파검사,D
2023,D3401014,(간암)혈청알파태아단백(RPHA),(간암)혈청알파태아단백(RPHA),D
2023,D3401015,(간암)혈청알파태아단백(EIA),(간암)혈청알파태아단백(EIA),D
2023,D3401022,(간암)상담료및행정비용,(간암)상담료및행정비용,D
2023,D3401041,(간암)혈청알파태아단백(RIA),(간암)혈청알파태아단백(RIA),D
2023,D3401046,(간암)상담료공휴일가산,(간암)상담료공휴일가산,D
2023,D3401047,(간암)장애인안전편의관리비,(간암)장애인안전편의관리비,D
2023,D3501017,(자궁암)자궁경부세포검사,(자궁암)자궁경부세포검사,D
2023,D3501024,(자궁암)상담료및행정비용,(자궁암)상담료및행정비용,D
2023,D3501048,(자궁암)상담료공휴일가산,(자궁암)상담료공휴일가산,D
2023,D3501049,(자궁암)장애인안전편의관리비,(자궁암)장애인안전편의관리비,D
2023,D3502017,(자궁암)자궁경부세포검사(중복자궁),(자궁암)자궁경부세포검사(중복자궁),D
2023,D3601005,(간암하)초음파검사,(간암하)초음파검사,D
2023,D3601014,(간암하)혈청알파태아단백(RPHA),(간암하)혈청알파태아단백(RPHA),D
2023,D3601015,(간암하)혈청알파태아단백(EIA),(간암하)혈청알파태아단백(EIA),D
